SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
956281,885HDFC99   ,F ,D,1080000.00,1080000.00,1080000.00,1080000.00,1080000.00,1080421.71,1,1,1080000.00,
961693,SBIBONDSII  ,F ,B,12319.99,12320.00,12319.99,12320.00,12320.00,10351.11,2,5,61599.00,
961694,IDFCBKBD1A  ,F ,B,4900.05,4940.00,4900.05,4920.00,4920.00,4807.05,4,6,29460.00,
961695,IDFCBKBD1B  ,F ,B,8470.00,8470.00,8470.00,8470.00,8470.00,8500.00,2,8,67760.00,
961699,IDFCBKBD1E  ,F ,B,4716.00,4815.00,4716.00,4815.00,4815.00,4830.00,6,9,43023.00,
961700,IDFCBKBD1F  ,F ,B,8282.01,8290.00,8282.00,8290.00,8290.00,8320.00,3,12,99416.00,
961703,SBIBIVR     ,F ,B,10655.98,10675.00,10631.03,10651.29,10650.00,10656.60,27,195,2076942.00,
961705,IIFCLBDIS1  ,F ,B,969.50,969.50,967.01,967.01,967.01,973.99,3,27,26171.00,
961706,IIFCLBDIS2  ,F ,B,1655.50,1656.00,1655.00,1656.00,1656.00,1664.50,6,25,41385.00,
961709,IDFCBKBD1G  ,F ,B,4521.00,4521.00,4521.00,4521.00,4521.00,5202.00,2,4,18084.00,
961711,PFCBS1      ,F ,B,4785.00,4890.00,4785.00,4890.00,4890.00,4815.00,4,16,77400.00,
961712,PFCBS2      ,F ,B,8505.02,8505.04,8111.66,8402.01,8400.01,8505.01,9,36,303371.00,
961714,PFCBS4      ,F ,B,8400.00,8400.00,8400.00,8400.00,8400.00,8500.00,1,4,33600.00,
961715,PFCBT1S1    ,F ,B,5055.00,5055.00,5055.00,5055.00,5055.00,5055.00,4,12,60660.00,
961716,PFCBT1S2    ,F ,B,8059.01,8059.01,8059.01,8059.01,8059.01,8052.01,1,4,32236.00,
961719,IDFCBKBD1I  ,F ,B,5070.00,5070.00,5070.00,5070.00,5070.00,5060.05,1,4,20280.00,
961720,IDFCBKBD1J  ,F ,B,8500.00,8500.00,8500.00,8500.00,8500.00,8444.00,1,2,17000.00,
961721,LTINF90122I ,F ,B,1018.00,1022.00,1018.00,1019.00,1019.00,1022.33,5,48,48984.00,
961722,LTINF9122II ,F ,B,1692.05,1700.06,1692.05,1700.06,1700.06,1702.06,20,331,562271.00,
961727,820NHAI22   ,F ,B,1105.00,1105.00,1103.00,1103.00,1103.00,1105.00,3,150,165650.00,
961728,830NHAI27   ,F ,B,1180.00,1180.00,1176.13,1176.50,1176.50,1178.03,5,2750,3238505.00,
961729,820PFC2022  ,F ,B,1099.00,1101.75,1095.01,1096.01,1096.01,1101.10,11,389,427471.00,
961730,830PFC2027  ,F ,B,1162.60,1170.00,1162.60,1169.95,1170.00,1169.99,5,710,826989.00,
961731,8IRFC230222 ,F ,B,1100.00,1100.01,1100.00,1100.00,1100.00,1094.00,3,101,111100.00,
961733,HUDCO050322 ,F ,B,1075.00,1075.00,1074.35,1074.35,1074.35,1067.00,3,101,108574.00,
961734,HUDCO050327 ,F ,B,1141.94,1141.94,1140.00,1140.00,1140.00,1138.34,9,710,810767.00,
961736,870IDFCBKB  ,F ,B,8061.05,8061.05,8061.04,8061.04,8061.04,8095.00,6,24,193465.00,
961737,870LNT22A   ,F ,B,1002.10,1005.00,1002.10,1002.20,1002.20,1005.06,6,170,170562.00,
961738,870LNT22B   ,F ,B,1640.02,1640.02,1631.59,1637.50,1637.50,1640.01,20,334,545982.00,
961739,890SREI17A  ,F ,B,960.00,960.00,960.00,960.00,960.00,960.00,4,20,19200.00,
961740,890SREI17B  ,F ,B,1581.00,1581.00,1580.00,1580.50,1580.00,1570.00,2,20,31610.00,
961742,915SREI17B  ,F ,B,1570.00,1570.00,1516.10,1516.10,1516.10,1575.00,3,50,77322.00,
961743,793REC22    ,F ,B,1115.00,1115.00,1115.00,1115.00,1115.00,1115.00,1,10,11150.00,
961746,843IDFCBKB  ,F ,B,7800.00,7800.00,7800.00,7800.00,7800.00,7815.00,1,4,31200.00,
961748,722REC22TF  ,F ,B,1054.02,1060.00,1054.01,1060.00,1060.00,1051.01,4,750,791156.00,
961750,719PFC2023  ,F ,B,1045.60,1060.00,1045.60,1060.00,1060.00,1045.60,2,6,6288.00,
961752,719IIFCL23  ,F ,B,1047.00,1048.00,1047.00,1047.80,1048.00,1042.20,5,720,754356.00,
